id_customer;customer_name;type;location_name;country;open_data_site_url;api_dcat_url;api_data_url;longitude;latitude
49;City of San Francisco;City;San Francisco;USA;https://data.sfgov.org/;https://data.sfgov.org/api/dcat.json;https://data.sfgov.org/api/data.json;-122.38;-122.38
50;City of Santa Monica;City;Santa Monica;USA;https://reportcard.santamonicayouth.net/;https://reportcard.santamonicayouth.net/api/dcat.json;https://reportcard.santamonicayouth.net/api/data.json;-118.4897099589997;-118.4897099589997
51;City of Seattle;City;Seattle;USA;https://data.seattle.gov/;https://data.seattle.gov/api/dcat.json;https://data.seattle.gov/api/data.json;-122.32943999975606;-122.32943999975606
52;City of Somerville;City;Somerville;USA;https://data.somervillema.gov/;https://data.somervillema.gov/api/dcat.json;https://data.somervillema.gov/api/data.json;-71.09825999969905;-71.09825999969905
53;City of South Bend;City;South Bend;USA;https://data.southbendin.gov/;https://data.southbendin.gov/api/dcat.json;https://data.southbendin.gov/api/data.json;-86.25404046099965;-86.25404046099965
54;City of Tacoma;City;Tacoma;USA;https://data.cityoftacoma.org/;https://data.cityoftacoma.org/api/dcat.json;https://data.cityoftacoma.org/api/data.json;-122.43924802799972;-122.43924802799972
55;City of Weatherford;City;Weatherford;USA;https://data.weatherfordtx.gov:443/;https://data.weatherfordtx.gov:443/api/dcat.json;https://data.weatherfordtx.gov:443/api/data.json;-97.80079999962015;-97.80079999962015
56;City of Wellington, FL;City;Wellington;USA;https://data.wellingtonfl.gov/;https://data.wellingtonfl.gov/api/dcat.json;https://data.wellingtonfl.gov/api/data.json;-80.27000999966162;-80.27000999966162
57;City of West Sacramento;City;West Sacramento;USA;https://westsacramento.demo.socrata.com/;https://westsacramento.demo.socrata.com/api/dcat.json;https://westsacramento.demo.socrata.com/api/data.json;-121.5768356909997;-121.5768356909997
58;City of Winnipeg;City;Winnipeg;CA;https://data.winnipeg.ca/;https://data.winnipeg.ca/api/dcat.json;https://data.winnipeg.ca/api/data.json;-99.11415045099966;-99.11415045099966
59;State of Colorado;State;Denver;USA;https://data.colorado.gov/;https://data.colorado.gov/api/dcat.json;https://data.colorado.gov/api/data.json;-104.98741804999969;-104.98741804999969
60;Cook County;County;Chicago;USA;https://datacatalog.cookcountyil.gov/;https://datacatalog.cookcountyil.gov/api/dcat.json;https://datacatalog.cookcountyil.gov/api/data.json;-87.63241000012124;-87.63241000012124
61;Country of Romania;International;Piata Viectoriei;RO;https://exploredata.gov.ro/;https://exploredata.gov.ro/api/dcat.json;https://exploredata.gov.ro/api/data.json;-99.11415045099966;-99.11415045099966
62;County of San Mateo;State/Province;Redwood City;USA;https://performance.smcgov.org/;https://performance.smcgov.org/api/dcat.json;https://performance.smcgov.org/api/data.json;-122.23023996599971;-122.23023996599971
63;County of West Sussex;State/Province;Chichester;UK;https://performance.westsussex.gov.uk/;https://performance.westsussex.gov.uk/api/dcat.json;https://performance.westsussex.gov.uk/api/data.json;-71.39978747399965;-71.39978747399965
64;Criminaytics;Application;not_available;USA;https://www.criminalytics.org/;https://www.criminalytics.org/api/dcat.json;https://www.criminalytics.org/api/data.json;not_available;not_available
65;Data.gov;Federal;Washington;USA;http://www.data.gov/;http://www.data.gov/api/dcat.json;http://www.data.gov/api/data.json;-77.03195999965413;-77.03195999965413
